timestamp,long_flux,short_flux,goes_class
2025-07-28 02:29:00,8.544812104804298e-07,1.882356448308437e-08,B
2025-07-28 02:30:00,8.531875092468581e-07,1.997525043551835e-08,B
2025-07-28 02:31:00,8.511875359888153e-07,1.740608970072531e-08,B
2025-07-28 02:32:00,8.481062695118751e-07,1.7873467725896026e-08,B
2025-07-28 02:33:00,8.484078592595861e-07,1.63370075072791e-08,B
2025-07-28 02:34:00,8.483161102541074e-07,1.6472106882499733e-08,B
2025-07-28 02:35:00,8.478544103007928e-07,1.743049817505628e-08,B
2025-07-28 02:36:00,8.481642171840367e-07,1.8482164423677763e-08,B
2025-07-28 02:37:00,8.434719364634132e-07,1.8427858293957132e-08,B
2025-07-28 02:38:00,8.388088350538517e-07,1.6110703343346187e-08,B
2025-07-28 02:39:00,8.411634012861854e-07,1.7300321428624756e-08,B
2025-07-28 02:40:00,8.457469890032132e-07,1.597430825959419e-08,B
2025-07-28 02:41:00,8.448558547257323e-07,1.669628831911996e-08,B
2025-07-28 02:42:00,8.476712552140673e-07,1.63484099172607e-08,B
2025-07-28 02:43:00,8.516478698363587e-07,1.9562131881580627e-08,B
2025-07-28 02:44:00,8.530280038179566e-07,1.779495937853193e-08,B
2025-07-28 02:45:00,8.548171029017749e-07,1.7873417156147276e-08,B
2025-07-28 02:46:00,8.545954983674164e-07,1.687812941048483e-08,B
2025-07-28 02:47:00,8.555932746261175e-07,1.688098162530617e-08,B
2025-07-28 02:48:00,8.56912874094066e-07,1.6023383490722583e-08,B
2025-07-28 02:49:00,8.553627699033404e-07,1.5554705889440298e-08,B
2025-07-28 02:50:00,8.548428762670021e-07,1.4523038338416578e-08,B
2025-07-28 02:51:00,8.543957012049953e-07,1.3531118371487617e-08,B
2025-07-28 02:52:00,8.564669384049623e-07,1.4038503110447115e-08,B
2025-07-28 02:53:00,8.561017082564697e-07,1.5034569586559447e-08,B
2025-07-28 02:54:00,8.545639698389945e-07,1.5676019558932786e-08,B
2025-07-28 02:55:00,8.590211881128795e-07,1.4916623403684384e-08,B
2025-07-28 02:56:00,8.621994956244083e-07,1.659440643731824e-08,B
2025-07-28 02:57:00,8.64166514609261e-07,1.6806926429814824e-08,B
2025-07-28 02:58:00,8.652476428890578e-07,1.579655616512996e-08,B
